cod_ibge,nome,microrregiao,mesorregiao,populacao_2022,pib_mil_reais,idhm,forest_pct,temp_mean_c,precip_annual_mm,humidity_mean_pct,livability_score,rank
3507001,Boituva,Tatuí,Itapetininga,61081,4474130.0000,0.7800,10.0400,20.8000,1205.0000,73.3000,0.6005,68
3523909,Itu,Sorocaba,Macro Metropolitana Paulista,168240,14012530.0000,0.7730,20.8700,20.8000,1205.0000,73.3000,0.6001,69
3505302,Barra Bonita,Jaú,Bauru,34346,2077901.0000,0.7880,5.1800,22.3000,913.0000,69.9000,0.5991,70
3511508,Cerquilho,Tatuí,Itapetininga,44695,2891328.0000,0.7820,5.6700,20.8000,1205.0000,73.3000,0.5987,71
3538501,Piquete,Guaratinguetá,Vale do Paraíba Paulista,12490,227361.0000,0.7570,48.5200,21.6000,1131.0000,69.3000,0.5982,72
3533403,Nova Odessa,Campinas,Campinas,62019,5613297.0000,0.7910,5.7300,22.2000,1053.0000,68.2000,0.5978,73
3502903,Araçoiaba da Serra,Sorocaba,Macro Metropolitana Paulista,32443,1523194.0000,0.7760,14.5000,20.8000,1205.0000,73.3000,0.5978,74
3537107,Pedreira,Campinas,Campinas,43112,1817292.0000,0.7690,16.7600,21.7000,1119.0000,67.7000,0.5974,75
3551603,Serra Negra,Amparo,Campinas,29894,1025007.0000,0.7670,19.8000,21.7000,1119.0000,67.7000,0.5972,76
3501152,Alumínio,Sorocaba,Macro Metropolitana Paulista,17301,3438994.0000,0.7660,29.2200,20.8000,1205.0000,73.3000,0.5961,77
3545209,Salto,Sorocaba,Macro Metropolitana Paulista,134319,11498959.0000,0.7800,6.5000,20.8000,1205.0000,73.3000,0.5953,78
3549706,São José do Rio Pardo,São João da Boa Vista,Campinas,52205,2876973.0000,0.7740,15.2100,22.1000,1058.0000,67.3000,0.5951,79
3534104,Oriente,Marília,Marília,6085,194079.0000,0.7700,18.5200,21.8000,1067.0000,66.7000,0.5949,80
3509601,Campo Limpo Paulista,Jundiaí,Macro Metropolitana Paulista,77632,3233935.0000,0.7690,27.3300,19.3000,1086.0000,79.0000,0.5932,81
3505500,Barretos,Barretos,Ribeirão Preto,122485,6715414.0000,0.7890,10.5600,23.5000,954.0000,65.5000,0.5928,82
3557006,Votorantim,Sorocaba,Macro Metropolitana Paulista,127923,5209654.0000,0.7670,24.7200,20.8000,1205.0000,73.3000,0.5919,83
3516705,Garça,Marília,Marília,42110,1893766.0000,0.7690,17.9600,21.8000,1067.0000,66.7000,0.5917,84
3538709,Piracicaba,Piracicaba,Piracicaba,423323,44351588.0000,0.7850,10.8900,22.2000,1053.0000,68.2000,0.5915,85
3556453,Vargem Grande Paulista,Itapecerica da Serra,Metropolitana de São Paulo,50415,3524293.0000,0.7700,24.3400,19.3000,1086.0000,79.0000,0.5912,86
3547601,Santa Rosa de Viterbo,Ribeirão Preto,Ribeirão Preto,23411,1131989.0000,0.7700,17.5800,22.2000,1050.0000,66.4000,0.5909,87
3505906,Batatais,Batatais,Ribeirão Preto,58402,3328690.0000,0.7610,12.7800,20.6000,1144.0000,68.6000,0.5896,88
